2023-05-17 07:54:59 ERROR Utilities:76 - [TestID:ITS_02_05][TestResult name=ITS_02_05 status=FAILURE method=Login.ITS_02_05()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:55:06 ERROR Utilities:76 - [TestID:ITS_02_06][TestResult name=ITS_02_06 status=FAILURE method=Login.ITS_02_06()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:55:14 ERROR Utilities:76 - [TestID:ITS_02_07][TestResult name=ITS_02_07 status=FAILURE method=Login.ITS_02_07()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:55:21 ERROR Utilities:76 - [TestID:ITS_02_08][TestResult name=ITS_02_08 status=FAILURE method=Login.ITS_02_08()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:55:28 ERROR Utilities:76 - [TestID:ITS_02_09][TestResult name=ITS_02_09 status=FAILURE method=Login.ITS_02_09()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:55:36 ERROR Utilities:76 - [TestID:ITS_02_10][TestResult name=ITS_02_10 status=FAILURE method=Login.ITS_02_10()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:55:43 ERROR Utilities:76 - [TestID:ITS_02_11][TestResult name=ITS_02_11 status=FAILURE method=Login.ITS_02_11()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:56:05 ERROR Utilities:76 - [TestID:ITS_02_12][TestResult name=ITS_02_12 status=FAILURE method=Login.ITS_02_12()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:56:34 ERROR Utilities:76 - [TestID:ITS_02_14][TestResult name=ITS_02_14 status=FAILURE method=Login.ITS_02_14()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:56:56 ERROR Utilities:76 - [TestID:ITS_02_17][TestResult name=ITS_02_17 status=FAILURE method=Login.ITS_02_17()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:57:18 ERROR Utilities:76 - [TestID:ITS_02_18][TestResult name=ITS_02_18 status=FAILURE method=Login.ITS_02_18()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:57:47 ERROR Utilities:76 - [TestID:ITS_02_19][TestResult name=ITS_02_19 status=FAILURE method=Login.ITS_02_19()[pri:0, instance:TestSuite.Login@534df152] output={null}]
2023-05-17 07:58:02 ERROR Utilities:76 - [TestID:ITS_02_20][TestResult name=ITS_02_20 status=FAILURE method=Login.ITS_02_20()[pri:0, instance:TestSuite.Login@534df152] output={null}]
